scorer,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310
bodyparts,toe,toe,toe,MTP,MTP,MTP,ankle,ankle,ankle,knee,knee,knee,hip,hip,hip,iliac_crest,iliac_crest,iliac_crest
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
71,1790.779,171.21811,0.04688582,1787.1007,161.98146,0.16660789,1778.2336,138.52632,0.32060394,1826.819,159.81586,0.12895955,1820.5867,118.66768,0.49279788,1851.4435,99.60151,0.14345655
72,1784.5831,169.8808,0.03384948,1787.68,161.40884,0.099363394,1779.1569,139.46887,0.35043773,1827.46,164.30956,0.14942266,1822.8843,119.89824,0.46045896,1855.5488,100.29419,0.10100281
73,1784.5254,170.5411,0.04041274,1787.106,161.80249,0.10956749,1778.8473,138.93639,0.34110847,1826.7582,165.8334,0.156236,1824.5277,114.92588,0.45091072,1855.2083,100.30836,0.10657969
74,1784.3861,170.24928,0.04397388,1786.773,161.79498,0.120293595,1778.9791,138.72247,0.30777803,1827.9674,165.01723,0.16650285,1824.4169,110.221176,0.5545219,1850.9326,99.21407,0.18132828
75,1791.241,170.82314,0.04951432,1787.0697,161.64578,0.2253172,1777.5421,137.39227,0.44560662,1825.6375,163.78717,0.18534836,1824.9014,109.15824,0.49360654,1854.5251,99.31588,0.13629538
76,1784.5177,168.9562,0.036824957,1787.4307,160.18037,0.15802437,1776.8113,136.74176,0.5017149,1829.0305,162.7169,0.13701928,1825.3303,109.92097,0.5449375,1854.9681,99.651924,0.14640063
77,1784.4642,168.71895,0.040256746,1786.6393,160.38033,0.16921072,1777.1246,136.49536,0.5025934,1832.0592,139.96423,0.10884198,1824.6736,109.37667,0.5338206,1851.0488,98.162994,0.1411683
78,1784.2026,168.98186,0.043908503,1786.445,160.1258,0.14029571,1776.9388,136.03009,0.54128814,1828.7803,133.23141,0.10369696,1825.187,109.16531,0.5180585,1855.3176,99.278015,0.14097887
79,1784.4645,170.46494,0.05849532,1786.0726,161.5059,0.18837799,1776.8452,135.67348,0.5638672,1827.5905,162.70345,0.15000767,1825.3864,108.98899,0.5162373,1855.3463,99.37419,0.14595976
80,1807.4829,177.8027,0.06661296,1786.7993,160.82411,0.19060628,1776.1304,135.21217,0.6107904,1826.5135,164.11441,0.18252604,1825.7233,109.52662,0.53704196,1860.2952,109.85919,0.13468881
81,1784.0533,170.27048,0.059674602,1786.6068,160.62611,0.19550958,1776.0027,134.78093,0.5984411,1825.9045,163.64297,0.16485213,1825.4227,109.9916,0.50791407,1851.4458,98.68083,0.1431798
82,1790.173,169.8848,0.06600734,1785.6965,159.60019,0.18041927,1775.0535,134.0815,0.65701914,1825.9717,159.60783,0.13450885,1823.894,109.58474,0.513812,1849.3594,98.90744,0.1527674
83,1782.5126,169.64532,0.047347445,1785.6526,159.97665,0.12534969,1775.8774,133.98944,0.55830336,1831.9076,140.58838,0.101565056,1824.4333,108.12133,0.53733116,1855.5806,98.739136,0.14517622
84,1783.7708,170.72116,0.061930485,1786.5048,160.15506,0.15695485,1774.8324,133.43697,0.63657343,1826.3792,159.69057,0.11390796,1824.2943,107.396645,0.5479264,1854.8169,98.25159,0.17876028
85,1783.435,170.368,0.05674623,1785.8218,159.89307,0.16720602,1774.393,133.31963,0.6832249,1854.7988,177.34961,0.13606657,1825.3209,110.47464,0.49454385,1859.1173,110.384056,0.13863271
86,1809.423,176.07468,0.059754375,1779.2607,157.93213,0.13990837,1773.9594,132.61545,0.7928244,1855.0848,180.01057,0.15784489,1825.6516,111.84926,0.42014274,1854.962,99.1907,0.13135763
